Name,Percentage,Normalized Average,Normalized Std Dev
Scaffold-1,0.05,0.9817241379310345,0.0054997629218424505
Scaffold-1,0.1,0.9531226053639846,0.012666498760096621
Scaffold-1,0.15,0.9143358876117497,0.022941581938766626
Scaffold-1,0.2,0.8280842911877394,0.12483125786905702
Scaffold-1,0.25,0.6867752234993615,0.2085527894320867
Scaffold-1,0.3,0.49486590038314177,0.2200745285245265
Scaffold-1,0.35,0.20669220945083014,0.19438335401445886
Scaffold-1,0.4,0.08653256704980843,0.09631998182116927
Scaffold-1,0.45,0.04826309067688378,0.05343290144952452
Scaffold-1,0.5,0.025191570881226054,0.01639092695499803
Scaffold-1,0.55,0.019770114942528737,0.010722608201678077
Scaffold-1,0.6,0.01739463601532567,0.009816658403703538
Scaffold-2,0.05,0.9999925317401046,7.468259895444354e-05
Scaffold-2,0.1,0.9997684839432412,0.0011948037071935042
Scaffold-2,0.15,0.9989693801344286,0.002052224430721927
Scaffold-2,0.2,0.9968483943241224,0.0032967495071900823
Scaffold-2,0.25,0.9823300970873786,0.09901385559247401
Scaffold-2,0.3,0.9794509697422319,0.013505113154693797
Scaffold-2,0.35,0.9245166803969728,0.19311657070264973
Scaffold-2,0.4,0.8658228041029705,0.2250228863801753
Scaffold-2,0.45,0.7762244834453572,0.2535092889776231
Scaffold-2,0.5,0.60526356733881,0.294236487757078
Scaffold-2,0.55,0.27992468180445873,0.24270432414442497
Scaffold-2,0.6,0.10234121263699046,0.12830060067715052
Scaffold-3,0.05,0.9978857142857143,0.0014121551560145136
Scaffold-3,0.1,0.9900761904761904,0.003433671584762484
Scaffold-3,0.15,0.9559190476190477,0.13691125115850025
Scaffold-3,0.2,0.8984333333333333,0.20695398437333662
Scaffold-3,0.25,0.8468446368446368,0.19629836761171468
Scaffold-3,0.3,0.7157571428571429,0.24044360972553158
Scaffold-3,0.35,0.4362244897959184,0.2624251825045724
Scaffold-3,0.4,0.09252822778595973,0.13508251308090527
Scaffold-3,0.45,0.02688449848024316,0.039754731970359766
Scaffold-3,0.5,0.010347222222222223,0.012132553329796411
Scaffold-3,0.55,0.005054112554112554,0.004989854339278629
Scaffold-3,0.6,0.0035007849293563578,0.004228527114009196
